time_s,value
0.008958,-0.558302
0.008979,-0.419255
0.009000,-0.325788
0.009021,-0.208492
0.009042,-0.139987
0.009062,0.012600
0.009083,0.069397
0.009104,0.178585
0.009125,0.255696
0.009146,0.316364
0.009167,0.419092
0.009187,0.461175
0.009208,0.585664
0.009229,0.637190
0.009250,0.721449
0.009271,0.733073
0.009292,0.784401
0.009313,0.887534
0.009333,0.996253
0.009354,1.110603
0.009375,1.129391
0.009396,1.251901
0.009417,1.294389
0.009437,1.379061
0.009458,1.426460
0.009479,1.453781
0.009500,1.499978
0.009521,1.474397
0.009542,1.493508
0.009562,1.435198
0.009583,1.431308
0.009604,1.360196
0.009625,1.326926
0.009646,1.302898
0.009667,1.300207
0.009688,1.330031
0.009708,1.241269
0.009729,1.261987
0.009750,1.264979
0.009771,1.344016
0.009792,1.386466
0.009813,1.415483
0.009833,1.454423
0.009854,1.447716
0.009875,1.488505
0.009896,1.456699
0.009917,1.495607
0.009937,1.463816
0.009958,1.475961
0.009979,1.458581
0.010000,1.441073
0.010021,1.495147
0.010042,1.451639
0.010062,1.478155
0.010083,1.489157
0.010104,1.593961
0.010125,1.648312
0.010146,1.687816
0.010167,1.728354
0.010188,1.764620
0.010208,1.877430
0.010229,1.920334
0.010250,2.031965
0.010271,2.048045
0.010292,2.105833
0.010313,2.129814
0.010333,2.123015
0.010354,2.180925
0.010375,2.178552
0.010396,2.203413
0.010417,2.155758
0.010437,2.192032
0.010458,2.171804
0.010479,2.141113
0.010500,2.081270
0.010521,2.016828
0.010542,2.038922
0.010562,1.981140
0.010583,1.985462
0.010604,1.891564
0.010625,1.851059
0.010646,1.820719
0.010667,1.782843
0.010688,1.773849
0.010708,1.726357
0.010729,1.708375
0.010750,1.579369
0.010771,1.522990
0.010792,1.424611
0.010812,1.353944
0.010833,1.238951
0.010854,1.089730
0.010875,1.023266
0.010896,0.883107
0.010917,0.803918
0.010937,0.643078
0.010958,0.539663
0.010979,0.463650
0.011000,0.431477
0.011021,0.404482
0.011042,0.339782
0.011063,0.349057
0.011083,0.278336
0.011104,0.291146
0.011125,0.262514
0.011146,0.288670
0.011167,0.271935
0.011188,0.183169
0.011208,0.152211
0.011229,0.074590
0.011250,0.063497
0.011271,-0.020197
0.011292,-0.058366
0.011312,-0.117096
0.011333,-0.116865
0.011354,-0.120148
0.011375,-0.188782
0.011396,-0.179031
0.011417,-0.217369
0.011437,-0.158735
0.011458,-0.164561
0.011479,-0.124859
0.011500,-0.105437
0.011521,-0.147712
0.011542,-0.162010
0.011563,-0.200948
0.011583,-0.170727
0.011604,-0.231204
0.011625,-0.260865
0.011646,-0.369443
0.011667,-0.429112
0.011688,-0.468596
0.011708,-0.573982
0.011729,-0.632760
0.011750,-0.751194
0.011771,-0.773431
0.011792,-0.874724
0.011812,-0.960505
0.011833,-1.056360
0.011854,-1.152415
0.011875,-1.225233
0.011896,-1.312261
0.011917,-1.309085
0.011937,-1.394436
0.011958,-1.427223
0.011979,-1.539794
0.012000,-1.606274
0.012021,-1.626571
0.012042,-1.683040
0.012063,-1.719747
0.012083,-1.846650
0.012104,-1.884371
0.012125,-1.969321
0.012146,-2.030856
0.012167,-2.128294
0.012187,-2.185834
0.012208,-2.218817
0.012229,-2.291108
0.012250,-2.272051
0.012271,-2.327611
0.012292,-2.297811
0.012312,-2.310925
0.012333,-2.268971
0.012354,-2.182040
0.012375,-2.102413
