time_s,dur_5_ms,dur_25_ms,dur_100_ms,dur_250_ms
0.004250,0.854166,0.170833,0.042708,0.017083
0.004271,0.858333,0.171667,0.042917,0.017167
0.004292,0.862499,0.172500,0.043125,0.017250
0.004312,0.866666,0.173333,0.043333,0.017333
0.004333,0.870833,0.174167,0.043542,0.017417
0.004354,0.874999,0.175000,0.043750,0.017500
0.004375,0.879166,0.175833,0.043958,0.017583
0.004396,0.883333,0.176667,0.044167,0.017667
0.004417,0.887499,0.177500,0.044375,0.017750
0.004438,0.891666,0.178333,0.044583,0.017833
0.004458,0.895833,0.179167,0.044792,0.017917
0.004479,0.899999,0.180000,0.045000,0.018000
0.004500,0.904166,0.180833,0.045208,0.018083
0.004521,0.908333,0.181667,0.045417,0.018167
0.004542,0.912499,0.182500,0.045625,0.018250
0.004562,0.916666,0.183333,0.045833,0.018333
0.004583,0.920833,0.184167,0.046042,0.018417
0.004604,0.924999,0.185000,0.046250,0.018500
0.004625,0.929166,0.185833,0.046458,0.018583
0.004646,0.933333,0.186667,0.046667,0.018667
0.004667,0.937499,0.187500,0.046875,0.018750
0.004688,0.941666,0.188333,0.047083,0.018833
0.004708,0.945833,0.189167,0.047292,0.018917
0.004729,0.949999,0.190000,0.047500,0.019000
0.004750,0.954166,0.190833,0.047708,0.019083
0.004771,0.958333,0.191667,0.047917,0.019167
0.004792,0.962499,0.192500,0.048125,0.019250
0.004812,0.966666,0.193333,0.048333,0.019333
0.004833,0.970833,0.194167,0.048542,0.019417
0.004854,0.974999,0.195000,0.048750,0.019500
0.004875,0.979166,0.195833,0.048958,0.019583
0.004896,0.983333,0.196667,0.049167,0.019667
0.004917,0.987499,0.197500,0.049375,0.019750
0.004938,0.991666,0.198333,0.049583,0.019833
0.004958,0.995833,0.199167,0.049792,0.019917
0.004979,0.999999,0.200000,0.050000,0.020000
0.005000,1.000000,0.200833,0.050208,0.020083
0.005021,1.000000,0.201667,0.050417,0.020167
0.005042,1.000000,0.202500,0.050625,0.020250
0.005063,1.000000,0.203333,0.050833,0.020333
0.005083,1.000000,0.204167,0.051042,0.020417
0.005104,1.000000,0.205000,0.051250,0.020500
0.005125,1.000000,0.205833,0.051458,0.020583
0.005146,1.000000,0.206666,0.051667,0.020667
0.005167,1.000000,0.207500,0.051875,0.020750
0.005187,1.000000,0.208333,0.052083,0.020833
0.005208,1.000000,0.209166,0.052292,0.020917
0.005229,1.000000,0.210000,0.052500,0.021000
0.005250,1.000000,0.210833,0.052708,0.021083
0.005271,1.000000,0.211666,0.052917,0.021167
0.005292,1.000000,0.212500,0.053125,0.021250
0.005313,1.000000,0.213333,0.053333,0.021333
0.005333,1.000000,0.214166,0.053542,0.021417
0.005354,1.000000,0.215000,0.053750,0.021500
0.005375,1.000000,0.215833,0.053958,0.021583
0.005396,1.000000,0.216666,0.054167,0.021667
0.005417,1.000000,0.217500,0.054375,0.021750
0.005437,1.000000,0.218333,0.054583,0.021833
0.005458,1.000000,0.219166,0.054792,0.021917
0.005479,1.000000,0.220000,0.055000,0.022000
0.005500,1.000000,0.220833,0.055208,0.022083
0.005521,1.000000,0.221666,0.055417,0.022167
0.005542,1.000000,0.222500,0.055625,0.022250
0.005563,1.000000,0.223333,0.055833,0.022333
0.005583,1.000000,0.224166,0.056042,0.022417
0.005604,1.000000,0.225000,0.056250,0.022500
0.005625,1.000000,0.225833,0.056458,0.022583
0.005646,1.000000,0.226666,0.056667,0.022667
0.005667,1.000000,0.227500,0.056875,0.022750
0.005687,1.000000,0.228333,0.057083,0.022833
0.005708,1.000000,0.229166,0.057292,0.022917
0.005729,1.000000,0.230000,0.057500,0.023000
0.005750,1.000000,0.230833,0.057708,0.023083
0.005771,1.000000,0.231666,0.057917,0.023167
0.005792,1.000000,0.232500,0.058125,0.023250
0.005813,1.000000,0.233333,0.058333,0.023333
0.005833,1.000000,0.234166,0.058542,0.023417
0.005854,1.000000,0.235000,0.058750,0.023500
0.005875,1.000000,0.235833,0.058958,0.023583
0.005896,1.000000,0.236666,0.059167,0.023667
0.005917,1.000000,0.237500,0.059375,0.023750
0.005937,1.000000,0.238333,0.059583,0.023833
0.005958,1.000000,0.239166,0.059792,0.023917
0.005979,1.000000,0.240000,0.060000,0.024000
0.006000,1.000000,0.240833,0.060208,0.024083
0.006021,1.000000,0.241666,0.060417,0.024167
0.006042,1.000000,0.242500,0.060625,0.024250
0.006063,1.000000,0.243333,0.060833,0.024333
0.006083,1.000000,0.244166,0.061042,0.024417
0.006104,1.000000,0.245000,0.061250,0.024500
0.006125,1.000000,0.245833,0.061458,0.024583
0.006146,1.000000,0.246666,0.061667,0.024667
0.006167,1.000000,0.247500,0.061875,0.024750
0.006187,1.000000,0.248333,0.062083,0.024833
0.006208,1.000000,0.249166,0.062292,0.024917
0.006229,1.000000,0.250000,0.062500,0.025000
0.006250,1.000000,0.250833,0.062708,0.025083
0.006271,1.000000,0.251666,0.062917,0.025167
0.006292,1.000000,0.252500,0.063125,0.025250
0.006313,1.000000,0.253333,0.063333,0.025333
0.006333,1.000000,0.254166,0.063542,0.025417
0.006354,1.000000,0.255000,0.063750,0.025500
0.006375,1.000000,0.255833,0.063958,0.025583
0.006396,1.000000,0.256666,0.064167,0.025667
