time_s,value
0.012646,0.633334
0.012667,0.634376
0.012687,0.635418
0.012708,0.636459
0.012729,0.637501
0.012750,0.638543
0.012771,0.639584
0.012792,0.640626
0.012812,0.641668
0.012833,0.642709
0.012854,0.643751
0.012875,0.644793
0.012896,0.645834
0.012917,0.646876
0.012938,0.647918
0.012958,0.648959
0.012979,0.650001
0.013000,0.651042
0.013021,0.652084
0.013042,0.653126
0.013063,0.654167
0.013083,0.655209
0.013104,0.656251
0.013125,0.657292
0.013146,0.658334
0.013167,0.659376
0.013187,0.660417
0.013208,0.661459
0.013229,0.662501
0.013250,0.663542
0.013271,0.664584
0.013292,0.665626
0.013312,0.666667
0.013333,0.667709
0.013354,0.668751
0.013375,0.669792
0.013396,0.670834
0.013417,0.671875
0.013438,0.672917
0.013458,0.673959
0.013479,0.675000
0.013500,0.676042
0.013521,0.677084
0.013542,0.678125
0.013562,0.679167
0.013583,0.680209
0.013604,0.681250
0.013625,0.682292
0.013646,0.683334
0.013667,0.684375
0.013687,0.685417
0.013708,0.686459
0.013729,0.687500
0.013750,0.688542
0.013771,0.689584
0.013792,0.690625
0.013813,0.691667
0.013833,0.692708
0.013854,0.693750
0.013875,0.694792
0.013896,0.695833
0.013917,0.696875
0.013938,0.697917
0.013958,0.698958
0.013979,0.700000
0.014000,0.701042
0.014021,0.702083
0.014042,0.703125
0.014062,0.704167
0.014083,0.705208
0.014104,0.706250
0.014125,0.707292
0.014146,0.708333
0.014167,0.709375
0.014187,0.710417
0.014208,0.711458
0.014229,0.712500
0.014250,0.713542
0.014271,0.714583
0.014292,0.715625
0.014313,0.716666
0.014333,0.717708
0.014354,0.718750
0.014375,0.719791
0.014396,0.720833
0.014417,0.721875
0.014438,0.722916
0.014458,0.723958
0.014479,0.725000
0.014500,0.726041
0.014521,0.727083
0.014542,0.728125
0.014562,0.729166
0.014583,0.730208
0.014604,0.731250
0.014625,0.732291
0.014646,0.733333
0.014667,0.734375
0.014687,0.735416
0.014708,0.736458
0.014729,0.737499
0.014750,0.738541
0.014771,0.739583
0.014792,0.740624
0.014813,0.741666
0.014833,0.742708
0.014854,0.743749
0.014875,0.744791
0.014896,0.745833
0.014917,0.746874
0.014937,0.747916
0.014958,0.748958
0.014979,0.749999
0.015000,0.751041
0.015021,0.752083
0.015042,0.753124
0.015062,0.754166
0.015083,0.755208
0.015104,0.756249
0.015125,0.757291
0.015146,0.758332
0.015167,0.759374
0.015188,0.760416
0.015208,0.761457
0.015229,0.762499
0.015250,0.763541
0.015271,0.764582
0.015292,0.765624
0.015313,0.766666
0.015333,0.767707
0.015354,0.768749
0.015375,0.769791
0.015396,0.770832
0.015417,0.771874
0.015437,0.772916
0.015458,0.773957
0.015479,0.774999
0.015500,0.776041
0.015521,0.777082
0.015542,0.778124
0.015562,0.779166
0.015583,0.780207
0.015604,0.781249
0.015625,0.782290
0.015646,0.783332
0.015667,0.784374
0.015687,0.785415
0.015708,0.786457
0.015729,0.787499
0.015750,0.788540
0.015771,0.789582
0.015792,0.790624
0.015812,0.791665
0.015833,0.792707
0.015854,0.793749
0.015875,0.794790
0.015896,0.795832
0.015917,0.796874
0.015937,0.797915
0.015958,0.798957
0.015979,0.799999
0.016000,0.801040
0.016021,0.802082
0.016042,0.803123
0.016062,0.804165
0.016083,0.805207
0.016104,0.806248
0.016125,0.807290
0.016146,0.808332
0.016167,0.809373
0.016188,0.810415
0.016208,0.811457
0.016229,0.812498
0.016250,0.813540
0.016271,0.814582
0.016292,0.815623
0.016313,0.816665
0.016333,0.817707
0.016354,0.818748
0.016375,0.819790
0.016396,0.820832
0.016417,0.821873
0.016438,0.822915
0.016458,0.823956
0.016479,0.824998
0.016500,0.826040
0.016521,0.827081
0.016542,0.828123
0.016562,0.829165
0.016583,0.830206
0.016604,0.831248
0.016625,0.832290
0.016646,0.833331
0.016667,0.834373
0.016687,0.835415
0.016708,0.836456
0.016729,0.837498
0.016750,0.838540
0.016771,0.839581
0.016792,0.840623
0.016812,0.841665
0.016833,0.842706
0.016854,0.843748
0.016875,0.844790
0.016896,0.845831
0.016917,0.846873
0.016937,0.847914
0.016958,0.848956
0.016979,0.849998
0.017000,0.851039
0.017021,0.852081
0.017042,0.853123
0.017063,0.854164
0.017083,0.855206
0.017104,0.856248
0.017125,0.857289
0.017146,0.858331
0.017167,0.859373
0.017188,0.860414
0.017208,0.861456
0.017229,0.862498
0.017250,0.863539
0.017271,0.864581
0.017292,0.865623
0.017313,0.866664
0.017333,0.867706
0.017354,0.868747
0.017375,0.869789
0.017396,0.870831
0.017417,0.871872
0.017438,0.872914
0.017458,0.873956
0.017479,0.874997
0.017500,0.876039
0.017521,0.877081
0.017542,0.878122
0.017562,0.879164
0.017583,0.880206
0.017604,0.881247
0.017625,0.882289
0.017646,0.883331
0.017667,0.884372
0.017687,0.885414
0.017708,0.886456
0.017729,0.887497
0.017750,0.888539
0.017771,0.889580
0.017792,0.890622
0.017812,0.891664
0.017833,0.892705
0.017854,0.893747
0.017875,0.894789
0.017896,0.895830
0.017917,0.896872
0.017938,0.897914
0.017958,0.898955
0.017979,0.899997
0.018000,0.901039
0.018021,0.902080
0.018042,0.903122
0.018063,0.904164
0.018083,0.905205
0.018104,0.906247
0.018125,0.907289
0.018146,0.908330
0.018167,0.909372
0.018188,0.910414
0.018208,0.911455
0.018229,0.912497
0.018250,0.913538
0.018271,0.914580
0.018292,0.915622
0.018313,0.916663
0.018333,0.917705
0.018354,0.918747
0.018375,0.919788
0.018396,0.920830
0.018417,0.921872
0.018437,0.922913
0.018458,0.923955
0.018479,0.924997
0.018500,0.926038
0.018521,0.927080
0.018542,0.928122
0.018562,0.929163
0.018583,0.930205
0.018604,0.931247
0.018625,0.932288
0.018646,0.933330
0.018667,0.934371
0.018687,0.935413
0.018708,0.936455
0.018729,0.937496
0.018750,0.938538
0.018771,0.939580
0.018792,0.940621
0.018812,0.941663
0.018833,0.942705
0.018854,0.943746
0.018875,0.944788
0.018896,0.945830
0.018917,0.946871
0.018938,0.947913
0.018958,0.948955
0.018979,0.949996
0.019000,0.951038
0.019021,0.952080
0.019042,0.953121
0.019063,0.954163
0.019083,0.955204
0.019104,0.956246
0.019125,0.957288
0.019146,0.958329
0.019167,0.959371
0.019188,0.960413
0.019208,0.961454
0.019229,0.962496
0.019250,0.963538
0.019271,0.964579
0.019292,0.965621
0.019312,0.966663
0.019333,0.967704
0.019354,0.968746
0.019375,0.969788
0.019396,0.970829
0.019417,0.971871
0.019437,0.972913
0.019458,0.973954
0.019479,0.974996
0.019500,0.976038
0.019521,0.977079
0.019542,0.978121
0.019562,0.979162
0.019583,0.980204
0.019604,0.981246
0.019625,0.982287
0.019646,0.983329
0.019667,0.984371
0.019687,0.985412
0.019708,0.986454
0.019729,0.987496
0.019750,0.988537
0.019771,0.989579
0.019792,0.990621
0.019813,0.991662
0.019833,0.992704
0.019854,0.993746
0.019875,0.994787
0.019896,0.995829
0.019917,0.996871
0.019938,0.997912
0.019958,0.998954
0.019979,0.999995
0.020000,1.000000
0.020021,0.999896
0.020042,0.999792
0.020063,0.999687
0.020083,0.999583
0.020104,0.999479
0.020125,0.999375
0.020146,0.999271
0.020167,0.999166
0.020188,0.999062
0.020208,0.998958
0.020229,0.998854
0.020250,0.998750
0.020271,0.998646
0.020292,0.998541
0.020312,0.998437
0.020333,0.998333
0.020354,0.998229
0.020375,0.998125
0.020396,0.998020
0.020417,0.997916
0.020437,0.997812
0.020458,0.997708
0.020479,0.997604
0.020500,0.997499
0.020521,0.997395
0.020542,0.997291
0.020562,0.997187
0.020583,0.997083
0.020604,0.996979
0.020625,0.996874
0.020646,0.996770
0.020667,0.996666
0.020688,0.996562
0.020708,0.996458
0.020729,0.996353
0.020750,0.996249
0.020771,0.996145
0.020792,0.996041
0.020813,0.995937
0.020833,0.995832
0.020854,0.995728
0.020875,0.995624
0.020896,0.995520
0.020917,0.995416
0.020938,0.995311
0.020958,0.995207
0.020979,0.995103
0.021000,0.994999
0.021021,0.994895
0.021042,0.994791
0.021063,0.994686
0.021083,0.994582
0.021104,0.994478
0.021125,0.994374
0.021146,0.994270
0.021167,0.994165
0.021187,0.994061
0.021208,0.993957
0.021229,0.993853
0.021250,0.993749
0.021271,0.993644
0.021292,0.993540
0.021312,0.993436
0.021333,0.993332
0.021354,0.993228
0.021375,0.993124
0.021396,0.993019
0.021417,0.992915
0.021437,0.992811
0.021458,0.992707
0.021479,0.992603
0.021500,0.992498
0.021521,0.992394
0.021542,0.992290
0.021562,0.992186
0.021583,0.992082
0.021604,0.991977
0.021625,0.991873
0.021646,0.991769
0.021667,0.991665
0.021688,0.991561
0.021708,0.991457
0.021729,0.991352
0.021750,0.991248
0.021771,0.991144
0.021792,0.991040
0.021813,0.990936
0.021833,0.990831
0.021854,0.990727
0.021875,0.990623
0.021896,0.990519
0.021917,0.990415
0.021938,0.990310
0.021958,0.990206
0.021979,0.990102
0.022000,0.989998
0.022021,0.989894
0.022042,0.989789
0.022062,0.989685
0.022083,0.989581
0.022104,0.989477
0.022125,0.989373
0.022146,0.989269
0.022167,0.989164
0.022187,0.989060
0.022208,0.988956
0.022229,0.988852
0.022250,0.988748
0.022271,0.988643
0.022292,0.988539
0.022312,0.988435
0.022333,0.988331
0.022354,0.988227
0.022375,0.988122
0.022396,0.988018
0.022417,0.987914
0.022437,0.987810
0.022458,0.987706
0.022479,0.987602
0.022500,0.987497
0.022521,0.987393
0.022542,0.987289
0.022563,0.987185
0.022583,0.987081
0.022604,0.986976
0.022625,0.986872
0.022646,0.986768
0.022667,0.986664
0.022688,0.986560
0.022708,0.986455
0.022729,0.986351
0.022750,0.986247
0.022771,0.986143
0.022792,0.986039
0.022813,0.985934
0.022833,0.985830
0.022854,0.985726
0.022875,0.985622
0.022896,0.985518
0.022917,0.985414
0.022938,0.985309
0.022958,0.985205
0.022979,0.985101
0.023000,0.984997
0.023021,0.984893
0.023042,0.984788
0.023062,0.984684
0.023083,0.984580
0.023104,0.984476
0.023125,0.984372
0.023146,0.984267
0.023167,0.984163
0.023187,0.984059
0.023208,0.983955
0.023229,0.983851
0.023250,0.983747
0.023271,0.983642
0.023292,0.983538
0.023312,0.983434
0.023333,0.983330
0.023354,0.983226
0.023375,0.983121
0.023396,0.983017
0.023417,0.982913
0.023438,0.982809
0.023458,0.982705
0.023479,0.982600
0.023500,0.982496
0.023521,0.982392
0.023542,0.982288
0.023563,0.982184
0.023583,0.982080
0.023604,0.981975
0.023625,0.981871
0.023646,0.981767
0.023667,0.981663
0.023688,0.981559
0.023708,0.981454
0.023729,0.981350
0.023750,0.981246
0.023771,0.981142
0.023792,0.981038
0.023813,0.980933
0.023833,0.980829
0.023854,0.980725
0.023875,0.980621
0.023896,0.980517
0.023917,0.980412
0.023937,0.980308
0.023958,0.980204
0.023979,0.980100
0.024000,0.979996
0.024021,0.979892
