freq_hz,fc_100_hz,fc_1000_hz,fc_5000_hz,fc_20000_hz
8185.575684,-104.068710,-84.132736,-71.474854,-66.594788
8413.493164,-104.283287,-84.343948,-71.626465,-66.612640
8647.756836,-104.496475,-84.553970,-71.779259,-66.631187
8888.543945,-104.708221,-84.762688,-71.933090,-66.650452
9136.024414,-104.918297,-84.970024,-72.087799,-66.670425
9390.406250,-105.127022,-85.175873,-72.243233,-66.691139
9651.871094,-105.333679,-85.380142,-72.399231,-66.712578
9920.616211,-105.538605,-85.582695,-72.555618,-66.734741
10196.843750,-105.741692,-85.783447,-72.712219,-66.757629
10480.750977,-105.942657,-85.982239,-72.868851,-66.781242
10772.575195,-106.141373,-86.178955,-73.025330,-66.805557
11072.525391,-106.337883,-86.373474,-73.181450,-66.830566
11380.826172,-106.531670,-86.565620,-73.337021,-66.856247
11697.711914,-106.723083,-86.755257,-73.491814,-66.882568
12023.408203,-106.911613,-86.942200,-73.645622,-66.909508
12358.185547,-107.097382,-87.126297,-73.798210,-66.937019
12702.284180,-107.279800,-87.307358,-73.949341,-66.965057
13055.964844,-107.458954,-87.485153,-74.098755,-66.993561
13419.492188,-107.634544,-87.659500,-74.246208,-67.022484
13793.126953,-107.806625,-87.830170,-74.391411,-67.051743
14177.180664,-107.974327,-87.996902,-74.534088,-67.081261
14571.927734,-108.137939,-88.159477,-74.673943,-67.110947
14977.665039,-108.297081,-88.317574,-74.810654,-67.140701
15394.683594,-108.451309,-88.470909,-74.943878,-67.170403
15823.331055,-108.600159,-88.619171,-75.073280,-67.199944
16263.913086,-108.744270,-88.762039,-75.198479,-67.229172
16716.761719,-108.881821,-88.899109,-75.319077,-67.257942
17182.220703,-109.013519,-89.029999,-75.434669,-67.286095
17660.619141,-109.138565,-89.154289,-75.544800,-67.313446
18152.359375,-109.256592,-89.271484,-75.648987,-67.339806
18657.789062,-109.366364,-89.381165,-75.746742,-67.364967
19177.292969,-109.468445,-89.482712,-75.837509,-67.388710
19711.263672,-109.561707,-89.575577,-75.920700,-67.410797
20260.078125,-109.645752,-89.659126,-75.995697,-67.430969
20824.195312,-109.719536,-89.732635,-76.061813,-67.448975
21404.019531,-109.782654,-89.795380,-76.118332,-67.464523
21999.990234,-109.833755,-89.846504,-76.164452,-67.477310
