freq_hz,d_0.25,d_0.50,d_0.75
636.554565,-62.076965,-61.951218,-61.210094
654.278320,-62.077106,-61.951347,-61.210136
672.495911,-62.077259,-61.951477,-61.210178
691.220764,-62.077415,-61.951614,-61.210232
710.466980,-62.077591,-61.951767,-61.210281
730.249084,-62.077766,-61.951923,-61.210335
750.581604,-62.077957,-61.952087,-61.210388
771.480225,-62.078156,-61.952263,-61.210449
792.961182,-62.078365,-61.952442,-61.210514
815.040283,-62.078587,-61.952637,-61.210579
837.734070,-62.078819,-61.952843,-61.210651
861.059326,-62.079071,-61.953064,-61.210728
885.034058,-62.079330,-61.953293,-61.210804
909.676758,-62.079605,-61.953537,-61.210884
935.005615,-62.079903,-61.953789,-61.210976
961.039246,-62.080212,-61.954060,-61.211067
987.798218,-62.080536,-61.954346,-61.211166
1015.301758,-62.080883,-61.954647,-61.211273
1043.571655,-62.081245,-61.954964,-61.211380
1072.628662,-62.081635,-61.955303,-61.211494
1102.494141,-62.082043,-61.955662,-61.211620
1133.191162,-62.082474,-61.956039,-61.211746
1164.743530,-62.082924,-61.956436,-61.211887
1197.174438,-62.083405,-61.956860,-61.212029
1230.508301,-62.083916,-61.957302,-61.212181
1264.769653,-62.084450,-61.957771,-61.212341
1299.984985,-62.085022,-61.958271,-61.212509
1336.181519,-62.085617,-61.958790,-61.212692
1373.385864,-62.086258,-61.959347,-61.212879
1411.626221,-62.086926,-61.959934,-61.213078
1450.930542,-62.087631,-61.960556,-61.213295
1491.329102,-62.088379,-61.961208,-61.213516
1532.853394,-62.089172,-61.961899,-61.213753
1575.533936,-62.090004,-61.962631,-61.214005
1619.402710,-62.090893,-61.963406,-61.214264
1664.492188,-62.091827,-61.964222,-61.214546
1710.837036,-62.092815,-61.965084,-61.214836
1758.473267,-62.093857,-61.965996,-61.215153
1807.435913,-62.094963,-61.966965,-61.215481
1857.760864,-62.096130,-61.967983,-61.215828
1909.488037,-62.097363,-61.969063,-61.216198
1962.654297,-62.098671,-61.970207,-61.216583
2017.302124,-62.100048,-61.971405,-61.216995
2073.471436,-62.101509,-61.972687,-61.217426
2131.204834,-62.103046,-61.974030,-61.217884
2190.543457,-62.104683,-61.975456,-61.218372
2251.536377,-62.106403,-61.976963,-61.218880
2314.227783,-62.108231,-61.978554,-61.219421
2378.664795,-62.110157,-61.980244,-61.219994
2444.893066,-62.112202,-61.982025,-61.220596
2512.968262,-62.114357,-61.983910,-61.221237
2582.938965,-62.116642,-61.985901,-61.221909
2654.857910,-62.119061,-61.988010,-61.222618
2728.779297,-62.121620,-61.990246,-61.223373
2804.755859,-62.124325,-61.992607,-61.224171
2882.850830,-62.127186,-61.995102,-61.225010
2963.120361,-62.130219,-61.997749,-61.225899
3045.625000,-62.133427,-62.000542,-61.226841
3130.426758,-62.136818,-62.003502,-61.227833
3217.586426,-62.140411,-62.006638,-61.228882
3307.176270,-62.144222,-62.009956,-61.229988
3399.260742,-62.148251,-62.013466,-61.231159
3493.908936,-62.152523,-62.017181,-61.232399
3591.192871,-62.157043,-62.021118,-61.233711
3691.181396,-62.161835,-62.025291,-61.235092
3793.957764,-62.166908,-62.029705,-61.236557
3899.596191,-62.172295,-62.034386,-61.238106
4008.175781,-62.177998,-62.039341,-61.239738
4119.778809,-62.184036,-62.044598,-61.241470
4234.484375,-62.190445,-62.050167,-61.243301
4352.388672,-62.197247,-62.056065,-61.245232
4473.575684,-62.204460,-62.062325,-61.247276
4598.137207,-62.212112,-62.068962,-61.249435
4726.161621,-62.220234,-62.076004,-61.251720
4857.755859,-62.228855,-62.083473,-61.254135
4993.014648,-62.238010,-62.091404,-61.256691
5132.039062,-62.247738,-62.099823,-61.259392
5274.934570,-62.258076,-62.108757,-61.262249
5421.803223,-62.269058,-62.118248,-61.265274
5572.766602,-62.280735,-62.128330,-61.268467
5727.933594,-62.293159,-62.139050,-61.271851
5887.421387,-62.306374,-62.150440,-61.275425
6051.349609,-62.320446,-62.162556,-61.279205
6219.835449,-62.335434,-62.175446,-61.283207
6393.019531,-62.351398,-62.189163,-61.287441
6571.025391,-62.368416,-62.203770,-61.291920
6753.987793,-62.386570,-62.219330,-61.296654
6942.044922,-62.405933,-62.235909,-61.301666
7135.330078,-62.426613,-62.253586,-61.306969
7334.004883,-62.448708,-62.272446,-61.312580
7538.211426,-62.472321,-62.292564,-61.318516
7748.104004,-62.497581,-62.314064,-61.324791
7963.832031,-62.524628,-62.337029,-61.331440
8185.575684,-62.553600,-62.361584,-61.338467
8413.493164,-62.584667,-62.387852,-61.345905
8647.756836,-62.617996,-62.415981,-61.353767
8888.543945,-62.653805,-62.446117,-61.362095
9136.024414,-62.692295,-62.478424,-61.370895
9390.406250,-62.733719,-62.513092,-61.380211
9651.871094,-62.778336,-62.550331,-61.390057
9920.616211,-62.826462,-62.590351,-61.400467
10196.843750,-62.878422,-62.633408,-61.411469
10480.750977,-62.934601,-62.679779,-61.423092
10772.575195,-62.995407,-62.729759,-61.435375
11072.525391,-63.061329,-62.783684,-61.448345
11380.826172,-63.132893,-62.841930,-61.462029
11697.711914,-63.210701,-62.904911,-61.476471
12023.408203,-63.295437,-62.973083,-61.491680
12358.185547,-63.387878,-63.046955,-61.507706
12702.284180,-63.488903,-63.127102,-61.524567
13055.964844,-63.599514,-63.214146,-61.542286
13419.492188,-63.720863,-63.308777,-61.560879
13793.126953,-63.854256,-63.411774,-61.580360
14177.180664,-64.001213,-63.523987,-61.600739
14571.927734,-64.163452,-63.646339,-61.622005
14977.665039,-64.342972,-63.779839,-61.644135
15394.683594,-64.542068,-63.925575,-61.667099
15823.331055,-64.763374,-64.084709,-61.690842
16263.913086,-65.009926,-64.258408,-61.715282
16716.761719,-65.285194,-64.447861,-61.740318
17182.220703,-65.593109,-64.654167,-61.765808
17660.619141,-65.938080,-64.878220,-61.791576
18152.359375,-66.324989,-65.120552,-61.817402
18657.789062,-66.758926,-65.381065,-61.843014
19177.292969,-67.244919,-65.658653,-61.868092
19711.263672,-67.787041,-65.950684,-61.892250
20260.078125,-68.386902,-66.252342,-61.915073
20824.195312,-69.040749,-66.555870,-61.936058
21404.019531,-69.734207,-66.849686,-61.954674
21999.990234,-70.434158,-67.117996,-61.970360
