freq_hz,d_0.25,d_0.50,d_0.75
4857.755859,-7.638227,-18.088881,-27.657782
4993.014648,-7.857629,-18.617802,-28.451468
5132.039062,-8.083708,-19.163685,-29.269297
5274.934570,-8.316701,-19.727222,-30.112122
5421.803223,-8.556842,-20.309099,-30.980797
5572.766602,-8.804408,-20.910118,-31.876305
5727.933594,-9.059650,-21.531057,-32.799622
5887.421387,-9.322852,-22.172777,-33.751736
6051.349609,-9.594307,-22.836161,-34.733734
6219.835449,-9.874301,-23.522139,-35.746700
6393.019531,-10.163180,-24.231796,-36.791908
6571.025391,-10.461274,-24.966188,-37.870548
6753.987793,-10.768926,-25.726469,-38.983940
6942.044922,-11.086499,-26.513880,-40.133465
7135.330078,-11.414369,-27.329704,-41.320526
7334.004883,-11.752963,-28.175434,-42.546757
7538.211426,-12.102680,-29.052546,-43.813725
7748.104004,-12.463967,-29.962698,-45.123146
7963.832031,-12.837270,-30.907587,-46.476784
8185.575684,-13.223083,-31.889200,-47.876659
8413.493164,-13.621897,-32.909550,-49.324730
8647.756836,-14.034225,-33.970852,-50.823174
8888.543945,-14.460597,-35.075516,-52.374260
9136.024414,-14.901557,-36.226089,-53.980339
9390.406250,-15.357696,-37.425514,-55.644127
9651.871094,-15.829581,-38.676834,-57.368282
9920.616211,-16.317797,-39.983429,-59.155708
10196.843750,-16.822924,-41.348991,-61.009491
10480.750977,-17.345514,-42.777519,-62.932831
10772.575195,-17.886181,-44.273563,-64.929382
11072.525391,-18.445425,-45.841995,-67.002808
11380.826172,-19.023701,-47.488190,-69.157021
11697.711914,-19.621410,-49.218147,-71.396271
12023.408203,-20.238798,-51.038445,-73.724922
12358.185547,-20.876017,-52.956585,-76.147919
12702.284180,-21.532909,-54.980698,-78.670204
13055.964844,-22.209066,-57.120014,-81.297165
13419.492188,-22.903637,-59.384808,-84.034454
13793.126953,-23.615196,-61.786533,-86.887962
14177.180664,-24.341658,-64.338440,-89.864227
14571.927734,-25.079838,-67.055138,-92.969757
14977.665039,-25.825264,-69.953323,-96.211502
15394.683594,-26.571659,-73.051857,-99.596573
15823.331055,-27.310392,-76.372566,-103.132706
16263.913086,-28.029568,-79.940033,-106.827446
16716.761719,-28.712938,-83.782463,-110.688637
17182.220703,-29.338337,-87.932175,-114.724152
17660.619141,-29.875563,-92.425926,-118.941574
18152.359375,-30.283468,-97.306236,-123.348877
18657.789062,-30.505804,-102.620537,-127.952965
19177.292969,-30.465778,-108.422173,-132.760468
19711.263672,-30.058706,-114.769295,-137.777039
20260.078125,-29.143110,-121.722603,-143.006897
20824.195312,-27.531294,-129.342117,-148.453430
21404.019531,-24.985374,-137.677979,-154.117554
21999.990234,-21.232471,-146.759354,-159.998215
