freq_hz,fc_100_hz,fc_1000_hz,fc_5000_hz,fc_20000_hz
4234.484375,-72.802643,-61.181496,-26.110405,-2.344107
4352.388672,-72.398125,-61.096813,-26.494574,-2.400668
4473.575684,-71.980370,-60.991638,-26.870790,-2.458089
4598.137207,-71.548752,-60.865749,-27.238171,-2.516337
4726.161621,-71.104111,-60.719036,-27.595825,-2.575372
4857.755859,-70.644302,-60.551212,-27.942860,-2.635154
4993.014648,-70.169930,-60.362160,-28.278347,-2.695633
5132.039062,-69.680855,-60.151619,-28.601381,-2.756752
5274.934570,-69.176399,-59.919384,-28.911022,-2.818447
5421.803223,-68.656578,-59.665226,-29.206303,-2.880647
5572.766602,-68.120033,-59.388897,-29.486296,-2.943277
5727.933594,-67.567169,-59.090099,-29.750065,-3.006249
5887.421387,-66.997757,-58.768650,-29.996647,-3.069465
6051.349609,-66.410484,-58.424160,-30.225077,-3.132818
6219.835449,-65.805946,-58.056438,-30.434429,-3.196191
6393.019531,-65.183243,-57.665054,-30.623745,-3.259461
6571.025391,-64.540848,-57.249752,-30.792118,-3.322485
6753.987793,-63.879940,-56.810196,-30.938568,-3.385111
6942.044922,-63.199715,-56.346020,-31.062204,-3.447174
7135.330078,-62.498867,-55.856846,-31.162134,-3.508493
7334.004883,-61.776604,-55.342274,-31.237413,-3.568879
7538.211426,-61.034443,-54.801922,-31.287182,-3.628120
7748.104004,-60.269924,-54.235275,-31.310526,-3.685991
7963.832031,-59.482651,-53.642033,-31.306616,-3.742248
8185.575684,-58.672424,-53.021667,-31.274582,-3.796638
8413.493164,-57.838150,-52.373657,-31.213575,-3.848878
8647.756836,-56.980827,-51.697559,-31.122774,-3.898678
8888.543945,-56.097801,-50.992855,-31.001358,-3.945718
9136.024414,-55.189777,-50.259018,-30.848536,-3.989665
9390.406250,-54.254753,-49.495449,-30.663500,-4.030167
9651.871094,-53.292217,-48.701557,-30.445480,-4.066850
9920.616211,-52.303707,-47.876835,-30.193695,-4.099319
10196.843750,-51.285786,-47.020580,-29.907394,-4.127159
10480.750977,-50.238708,-46.132252,-29.585846,-4.149934
10772.575195,-49.162663,-45.211033,-29.228292,-4.167194
11072.525391,-48.054371,-44.256409,-28.833992,-4.178465
11380.826172,-46.914902,-43.267506,-28.402264,-4.183254
11697.711914,-45.745918,-42.243729,-27.932358,-4.181051
12023.408203,-44.537453,-41.184292,-27.423620,-4.171334
12358.185547,-43.299011,-40.088314,-26.875307,-4.153562
12702.284180,-42.024502,-38.955139,-26.286747,-4.127184
13055.964844,-40.713486,-37.783821,-25.657255,-4.091640
13419.492188,-39.365688,-36.573643,-24.986183,-4.046363
13793.126953,-37.980164,-35.323612,-24.272856,-3.990781
14177.180664,-36.553642,-34.032772,-23.516605,-3.924320
14571.927734,-35.088047,-32.700363,-22.716782,-3.846414
14977.665039,-33.582256,-31.325314,-21.872776,-3.756505
15394.683594,-32.033024,-29.906765,-20.983990,-3.654055
15823.331055,-30.439001,-28.443567,-20.049759,-3.538534
16263.913086,-28.801792,-26.934555,-19.069504,-3.409452
16716.761719,-27.119749,-25.379080,-18.042692,-3.266353
17182.220703,-25.386118,-23.775768,-16.968775,-3.108824
17660.619141,-23.606785,-22.123695,-15.847284,-2.936514
18152.359375,-21.778599,-20.421446,-14.677655,-2.749117
18657.789062,-19.897205,-18.668139,-13.459546,-2.546428
19177.292969,-17.961958,-16.862377,-12.192553,-2.328319
19711.263672,-15.975014,-15.003246,-10.876387,-2.094771
20260.078125,-13.930883,-13.089458,-9.510901,-1.845899
20824.195312,-11.829803,-11.119494,-8.095855,-1.581924
21404.019531,-9.670345,-9.092532,-6.631322,-1.303256
21999.990234,-7.450783,-7.006996,-5.117419,-1.010471
